film_id,nota_modelo,nota_gemini,evaluada,nota_reglas
taipei-suicide-story,10.302513974738174,,False,9.81164712534741
the-seventh-seal,10.178553171411709,,False,9.290632264563442
spring-summer-fall-winter-and-spring,10.171161007418172,9.0,True,9.339312119772131
the-novelists-film,10.059905385769301,9.5,True,9.621079661185345
cleo-from-5-to-7,10.03882047795276,9.7,True,9.725191096678323
all-we-imagine-as-light,10.025712041249228,10.0,True,9.747275900899458
secret-sunshine,9.948702531765386,9.6,True,9.551334079699894
the-green-ray,9.91218047092877,9.8,True,9.550110318246542
bicycle-thieves,9.875658318822545,9.8,True,9.323065806173503
shoplifters,9.751004586752797,9.8,True,9.622573516567304
woman-in-the-dunes,9.721862715264546,9.5,True,9.48856753300884
norte-the-end-of-history,9.672846872063117,9.6,True,8.991813140644698
the-headless-woman,9.664212529604244,9.5,True,9.668752424398644
riceboy-sleeps,9.645400954396024,9.7,True,9.31286589137193
the-fallout,9.623189929028442,8.8,True,8.797495711890837
the-souvenir-part-ii,9.58476537495498,9.6,True,9.316969361250756
tokyo-story,9.582215841853,10.0,True,9.822309500946995
women-workers-leaving-the-factory,9.57480234339296,9.5,True,9.570670014795505
the-girl-with-the-needle,9.568856006685712,9.0,True,9.190136939497426
little-forest-summer-autumn,9.541414770390091,9.5,True,9.272737835919653
train-dreams,9.49138775816089,,False,9.454228949251284
vivre-sa-vie,9.464744435305636,9.5,True,9.426121266896171
india-song,9.42900270980959,9.5,True,9.433505453051517
under-the-skin,9.417617051373085,,False,9.501340156232459
winter-sleep,9.404574321685377,9.2,True,8.707073400889772
rara,9.370471346862287,8.8,True,8.91674784684525
love-life,9.361894645870295,9.3,True,9.503197977537681
the-bitter-tears-of-petra-von-kant,9.335317376865031,8.2,True,8.63923298113374
stalker,9.322703712542284,10.0,True,9.677921176791205
zama,9.32042840838964,9.5,True,8.917199183827512
the-tree-of-life,9.316004068475761,9.2,True,9.426425070479082
burning,9.28496320201786,,False,8.834546110045013
persona,9.26147302076227,9.5,True,9.517877984652362
4-months-3-weeks-and-2-days,9.182003602934957,9.5,True,9.240312236900388
paju,9.163091501686212,9.2,True,8.849807378468967
a-place-further-than-the-universe,9.157549812676754,9.2,True,8.946517173975476
happy-together,9.147584231842023,,False,9.247911816142263
portrait-of-a-young-girl-at-the-end-of-the-60s-in-brussels,9.142781779599986,8.8,True,9.410607812110504
anne-of-green-gables,9.125752406668711,9.8,True,9.134308614855573
ghost-in-the-shell,9.1152261836231,9.0,True,9.273665702974885
let-the-right-one-in,9.073566163663365,,False,8.764626295935955
monos,9.068668208511019,8.0,True,8.278345891819612
