film_id,n_chunks,evaluada,sim · filtro · Camaradería Masculina Rancia,sim · filtro · Insoportabilidad Prolongada,sim · filtro · Control Emocional Artificial,sim · filtro · Personajes Diorama,sim · filtro · Caos Asfixiante,sim · afinidad · Resistencia Femenina,sim · afinidad · Contemplación Inmersiva,sim · afinidad · Ternura y Empatía Radical,sim · afinidad · Humanismo Social,sim · afinidad · Vanguardia y Simbolismo,sim · excepción · Camaradería Masculina Rancia,sim · excepción · Insoportabilidad Prolongada,pred · gt_afinidad_resistencia_femenina,pred · gt_afinidad_contemplación_inmersiva,pred · gt_afinidad_ternura_y_empatía_radical,pred · gt_afinidad_humanismo_social,pred · gt_afinidad_vanguardia_y_simbolismo,pred · gt_cols_camaradería_masculina_rancia,pred · gt_cols_insoportabilidad_prolongada,pred · gt_cols_control_emocional_artificial,pred · gt_cols_personajes_diorama,pred · gt_cols_caos_asfixiante,pred · gt_excepcion_camaradería_masculina_rancia,pred · gt_excepcion_insoportabilidad_prolongada,pred · gt_excepcion_control_emocional_artificial,pred · gt_excepcion_personajes_diorama,pred · gt_excepcion_caos_asfixiante,nota_reglas,nota_gemini,nota_modelo_entrenamiento,nota_modelo_cv,error_cv,nota_reglas_cv,error_reglas_cv,nota_modelo
one-battle-after-another,38,False,0.3411092943664332,0.49724218564103284,0.27104822190322664,0.315978144103629,0.5651008701180357,0.2648934993164553,0.4800252243189219,0.35836566994562447,0.2663762353170025,0.5194341647101771,0.41888222273530207,0.5509133655051989,6.6025225365238445,3.6208488531903757,5.549294678586529,5.7629191186039215,6.655354805490149,0.4125628022046221,3.7369491406891493,4.965480957777314,2.5766541388787445,3.7356080774502765,0.19845986064641025,0.44012141792106907,0.0,0.0,0.11894983072535317,7.4331024494640525,,,,,,,9.367766880983604
sinners,317,True,0.3621331326370133,0.5569272800316045,0.35310765303865616,0.4258940263506913,0.608278462738827,0.2489441894939055,0.5691030579200024,0.3730836946804984,0.33334362741961104,0.6115142586851591,0.44841163680476137,0.5480232078831183,6.52113037018108,5.519896617314158,5.956614115029641,7.104669917990302,6.8657497191314745,0.29133512544159457,2.691704290888199,3.9532012592482264,2.0969827873929123,3.0704484844089768,0.20447231147312356,0.3600157191239601,0.0,0.0028492652964254832,0.10980579642074462,7.9644803513696365,7.5,8.150171133826161,8.031844283893397,0.5318442838933972,7.857080680724055,0.35708068072405474,8.150171133826161
marty-supreme,30,True,0.3126169398489738,0.615539477926414,0.334879363333751,0.33549312729922826,0.5750034353732532,0.23584154563017037,0.49026922262074407,0.3819259802773827,0.25136268590615995,0.4849830843562999,0.45281788170039916,0.6037122665150406,5.467601921281843,3.635626633568159,4.419967117883099,5.977039866503819,6.757868871500857,0.601752378555148,5.220092674279796,4.464499323190575,1.941238825707436,4.501859293741572,0.26452530458726237,0.47431241044833405,0.0,0.0,0.13811274562709333,6.947604766239916,5.5,6.8156471599201485,7.3049508397363985,1.8049508397363985,7.441478604199406,1.941478604199406,6.8156471599201485
it-was-just-an-accident,30,False,0.37756382556854673,0.6130521163924056,0.3788493388107382,0.42862142469141484,0.6287161042055014,0.35520039470568154,0.6183649934934163,0.45549487529378446,0.34471542840209024,0.5875922218767106,0.4568693805831795,0.5997569386788285,6.817163103792831,7.504732032145434,5.902246927063726,9.850936261090038,8.599193420835885,0.39358600715786896,3.751655841250177,0.6266944445702236,0.0032626872779191185,2.014393304640357,0.38362070401671,0.4156411364211797,0.0,0.01817512768023452,0.08251837306899479,8.903648482320712,,,,,,,8.765445270546682
sentimental-value,36,False,0.32048847278816406,0.5034719386410222,0.4733602485287576,0.4240275499654179,0.5365802955321219,0.35305856264285096,0.6530454230578651,0.6268140615810984,0.4038790406220827,0.5620757497678336,0.5093663094234355,0.5563709967043118,8.499543333367864,8.842400136226523,10.0,8.551218535492975,7.050777070017261,0.059460583887109036,1.8403264184507608,2.810499171397197,1.7640888152191887,1.1391892729248494,0.0,0.2758885297812086,0.0,0.0,0.030112060362225284,9.47200915985468,,,,,,,10.269433479954706
the-secret-agent,34,False,0.36549265385712765,0.520989628459482,0.3825408632174427,0.463630902700062,0.644532774578616,0.2467885014522177,0.6075734441927275,0.31946523542244637,0.29267816803228053,0.6240087831837872,0.5047225608772746,0.5788283947958942,6.3194637649538485,6.71636628240824,5.231185211821207,7.4578753877702715,9.11663727167266,0.40606214361830784,3.008280434656665,2.5796826337208403,1.4919524345537638,1.8365185678805847,0.24706140488293446,0.3402439689260005,0.0,0.004793558760249948,0.07287724500220302,8.524937287546306,,,,,,,8.639039763329421
weapons,28,False,0.3167572503322398,0.5820823568252713,0.3009569549892336,0.35030594475012583,0.6406376719693995,0.19281532706279622,0.5179365612786284,0.3159728283799486,0.2977376532230655,0.530734040407469,0.40549961376869503,0.5777898701074534,6.2352738077032654,3.3015135945135246,4.474161191069442,5.362870329436132,8.647070050098822,0.40920804678411493,4.009920325273877,4.222284334184141,1.52596710320926,4.379483335803318,0.29271784193347306,0.38068659069607186,0.0,0.0,0.12946929649957434,7.511014597278422,,,,,,,7.724972674769188
train-dreams,40,False,0.3382742248560408,0.559315013198471,0.38809891799631924,0.4491624136709216,0.5531579280871791,0.2812579887065662,0.6859716943232881,0.473279825051798,0.39517837326431055,0.6117939495899489,0.49657416081616396,0.5665026020962411,6.576972320351876,10.0,8.726773695781276,8.59393216233624,7.310621034878912,0.41769604152000506,2.363857428428474,3.209410892903249,2.298046245993245,0.31152839423254775,0.11776622674580796,0.3097507772762587,0.0,0.0,0.05010706286453179,9.303935038501027,,,,,,,9.536723712971304
hamnet,28,False,0.33277433752279567,0.5658134547911842,0.37767148591510535,0.37225465233819605,0.5797495609995165,0.36426997101221115,0.6113515382362058,0.5093866621279443,0.319012733834338,0.557983292794765,0.4558689677099571,0.5603441081662218,8.475070495277192,6.824455096720036,8.472576619674395,7.500648978559086,6.499410432009484,0.24654393704437555,2.100317304759156,3.6098146311316217,1.9548030521099942,1.835255735743348,0.012276815069087232,0.3053269595923529,0.0,0.009050852275772788,0.06666508602828786,8.735562448550114,,,,,,,9.057354176380528
sorry-baby,26,False,0.3772932930897174,0.5405695316886655,0.4009343545615549,0.3683464365601169,0.5342601531132106,0.35754324010086047,0.5827311051227542,0.41417253567813866,0.3131309019028646,0.5034488696688648,0.4840950464660729,0.552005390501192,9.070447531407218,5.795726354916333,7.835747261434031,6.613987213763639,6.549568251212763,0.2136265785441434,2.6955330864016176,3.394556769188191,2.1086083106967926,2.6963242944577113,0.03015057441829383,0.25637660657361755,0.0,0.00039498170101287707,0.07060604991834368,8.409574656138492,,,,,,,7.749664203148703
