film_id,nota_modelo,nota_gemini,evaluada,nota_lineal
tokyo-story,9.822181211341732,10.0,True,9.582008526611729
taipei-suicide-story,9.752972111619759,,False,10.301850800276485
all-we-imagine-as-light,9.743159002325994,10.0,True,10.02625067056488
cleo-from-5-to-7,9.725970656319348,9.7,True,10.038424697038584
close-your-eyes,9.685542642394497,9.5,True,8.836224936900408
stalker,9.660480053488167,10.0,True,9.321429001399222
the-headless-woman,9.653178865945959,9.5,True,9.665063890153508
close-up,9.644545184500046,9.5,True,8.878014978458795
the-novelists-film,9.621036573481774,9.5,True,10.060400592236329
certain-women,9.592455697127216,10.0,True,8.991089899090696
shoplifters,9.592111028264286,9.8,True,9.754294950485189
women-workers-leaving-the-factory,9.571324622458679,9.5,True,9.574492856791975
secret-sunshine,9.554132647817294,9.6,True,9.949866545392332
the-green-ray,9.542046518435672,9.8,True,9.912569114792554
under-the-skin,9.516454294696615,,False,9.419448446826888
persona,9.503897136809643,9.5,True,9.261982199509996
love-life,9.502887681705543,9.3,True,9.359974251575256
woman-in-the-dunes,9.476453008152625,9.5,True,9.721373677167348
vivre-sa-vie,9.449153058290472,9.5,True,9.466753501997019
train-dreams,9.445353488424955,,False,9.490688217230726
the-tree-of-life,9.442133490192408,9.2,True,9.31436835994006
2046,9.429679901973307,,False,8.526154136945058
paterson,9.426761234224127,9.8,True,9.038231598324755
werckmeister-harmonies,9.426395993464606,10.0,True,9.001259107936047
personal-shopper,9.417107443056437,9.0,True,8.628577269729998
india-song,9.383206921700884,9.5,True,9.42602332261323
portrait-of-a-young-girl-at-the-end-of-the-60s-in-brussels,9.375183331985468,8.8,True,9.144483835996892
fallen-leaves,9.358922003064189,9.5,True,8.78106198697724
columbus,9.35408269585989,9.8,True,8.940876114089622
melancholia,9.35097853656964,9.5,True,8.784609490170526
spring-summer-fall-winter-and-spring,9.336444055545762,9.0,True,10.172058206671286
bicycle-thieves,9.335302498913338,9.8,True,9.876572647251457
in-the-mood-for-love,9.319880023849036,9.5,True,7.992989134337078
the-passion-of-joan-of-arc,9.3183261811604,,False,8.639093974670434
4-months-3-weeks-and-2-days,9.31584548064414,9.5,True,9.181928253619928
riceboy-sleeps,9.308500998274795,9.7,True,9.645904107614378
the-souvenir-part-ii,9.304978298241489,9.6,True,9.584005608003505
the-seventh-seal,9.303159471818994,,False,10.174780962761668
sentimental-value,9.292685414829569,,False,8.56343983242923
little-forest-summer-autumn,9.283623009765865,9.5,True,9.54264333737877
ghost-in-the-shell,9.277345635317639,9.0,True,9.115523533209767
the-disciple,9.271668263511945,8.8,True,8.625731987948381
neon-genesis-evangelion-the-end-of-evangelion,9.252021500023645,9.8,True,9.031755100450122
viola,9.23360110763746,9.4,True,8.67243673789823
happy-together,9.227359878708286,,False,9.146667343963921
chungking-express,9.181171310325357,,False,8.50094014942639
the-girl-with-the-needle,9.151909418120153,9.0,True,9.569776550799865
anne-of-green-gables,9.12940719862341,9.8,True,9.12397329202644
neon-genesis-evangelion,9.11726271103761,,False,8.969026200802325
pacifiction,9.012315424408168,9.0,True,8.66400947109854
portrait-of-a-lady-on-fire,9.009100832356456,,False,8.798801220295667
killers-of-the-flower-moon,9.008991178513176,9.5,True,8.45475697949153
extraordinary-stories,8.990677312445474,8.5,True,8.71106613772319
ran,8.989776436023288,9.0,True,8.994817613791142
norte-the-end-of-history,8.988726825422805,9.6,True,9.673845000374136
raise-the-red-lantern,8.985042898595204,9.2,True,8.783368242243077
a-woman-under-the-influence,8.985018113146596,9.8,True,8.442928365885898
happy-go-lucky,8.979952551219453,9.0,True,8.498452820636809
zama,8.932946261808063,9.5,True,9.318469106950346
a-place-further-than-the-universe,8.93030847044292,9.2,True,9.15695397914202
godzilla,8.929022937336656,,False,7.230775671545331
before-sunset,8.92223473019155,8.5,True,8.976452847222825
lady-bird,8.913377694524284,,False,8.744073209720327
rara,8.912776133120694,8.8,True,9.371946680068273
the-master,8.891694165696707,9.3,True,8.681253396498441
crouching-tiger-hidden-dragon,8.878246722884555,9.5,True,8.223349074606459
her,8.859406488839221,8.2,True,8.116105999978489
twin-peaks,8.854317770718993,,False,8.373645108967228
paju,8.85009940933991,9.2,True,9.161246199131805
burning,8.833706916723953,,False,9.282922791889288
the-testament-of-ann-lee,8.826333783962633,8.6,True,8.788133058300419
a-beautiful-day-in-the-neighborhood,8.82512972023641,8.8,True,8.146332724362196
kikis-delivery-service,8.821018342861137,8.5,True,9.016794531568816
mulholland-drive,8.820771315147244,9.2,True,8.664294323977003
the-bitter-tears-of-petra-von-kant,8.804307338339346,8.2,True,9.333721888202652
disobedience,8.79902886571013,8.5,True,8.882688951523615
the-fallout,8.793053117180127,8.8,True,9.618934497979648
hal-harper,8.791319272340044,8.8,True,8.484062494000277
princess-mononoke,8.78980207005226,,False,9.027607575087266
do-not-expect-too-much-from-the-end-of-the-world,8.788814757230945,9.2,True,8.685513801952133
spencer,8.786147657185651,,False,8.295457299305856
the-worst-person-in-the-world,8.784392340237583,8.8,True,8.815336857212744
let-the-right-one-in,8.771693818854718,,False,9.074412684011318
blade-runner,8.764787832353257,8.5,True,8.565450790298724
mississippi-masala,8.764343733857054,9.0,True,8.313925508567822
arrival,8.758626216891917,8.8,True,8.99327590794442
winter-sleep,8.733663283460984,9.2,True,9.40552636398671
the-secret-agent,8.733523262592652,,False,8.579335915716094
little-white-dove,8.716479045690885,8.5,True,8.456101745796541
memories-of-murder,8.716283015557424,8.0,True,9.02752474989322
seven-samurai,8.715891738458646,,False,8.808258053153953
the-power-of-the-dog,8.699847024321384,8.5,True,8.396036695735118
another-round,8.695657731390828,,False,8.889610334737771
mommy,8.682328338632006,8.5,True,8.287672437206377
gueros,8.66926680283062,8.5,True,8.417080203097411
before-midnight,8.650577663086013,,False,8.91748378322524
before-sunrise,8.635121650560144,,False,8.408221127038436
the-shining,8.609910526909378,,False,7.651641143476517
perfect-blue,8.60977858958498,,False,8.486190714313699
night-of-the-living-dead,8.604515440669491,,False,8.674853188667361
suspiria,8.60071646366387,,False,8.499945488568263
once-upon-a-time-in-hollywood,8.540478827835184,8.5,True,7.337200017251801
aguirre-the-wrath-of-god,8.51800668048254,8.5,True,8.627796698400811
