film_id,nota_modelo,nota_gemini,evaluada,nota_reglas
taipei-suicide-story,11.674157032950404,,False,9.646005126322407
secret-sunshine,10.488200686254572,9.6,True,9.67571903741874
sentimental-value,10.270291459781099,,False,9.472065828612283
shaun-of-the-dead,10.158459150386705,,False,7.73315508419429
columbus,10.038386477255285,9.8,True,9.414440717402757
the-girl-with-the-needle,9.938237491696887,9.0,True,9.066171331186164
women-workers-leaving-the-factory,9.921839712695325,9.5,True,9.651369046171848
india-song,9.898117452338102,9.5,True,9.337644842448716
melancholia,9.833145044174131,9.5,True,9.166438992995833
the-tree-of-life,9.828163235004574,9.2,True,9.328314407713584
certain-women,9.819605161791907,10.0,True,9.518833704406706
all-we-imagine-as-light,9.793190593889474,10.0,True,9.7259052744359
zama,9.68516477668632,9.5,True,9.134330677117894
spring-summer-fall-winter-and-spring,9.68226302173716,9.0,True,9.319712000373407
4-months-3-weeks-and-2-days,9.660261876968036,9.5,True,9.16122763712233
portrait-of-a-young-girl-at-the-end-of-the-60s-in-brussels,9.615648372894608,8.8,True,9.291804893753836
neon-genesis-evangelion-the-end-of-evangelion,9.614991596852235,9.8,True,9.328379484671919
personal-shopper,9.602214335788714,9.0,True,9.510745374465456
under-the-skin,9.542273849976128,,False,9.13569865578407
train-dreams,9.535514058107134,,False,9.304080459020266
rocky,9.50061075550743,9.2,True,8.257980347589747
the-headless-woman,9.481863130642147,9.5,True,9.732827919782828
woman-in-the-dunes,9.480815464027254,9.5,True,9.429848262322013
shoplifters,9.466212267390372,9.8,True,9.588440712881669
the-green-ray,9.464342669537551,9.8,True,9.516766634211944
cleo-from-5-to-7,9.425646551777538,9.7,True,9.629358385452862
werckmeister-harmonies,9.418282687857515,10.0,True,9.380210215905139
love-life,9.405984037186936,9.3,True,9.659143362677794
anne-of-green-gables,9.39449516185122,9.8,True,8.961127434471905
raise-the-red-lantern,9.38753673859065,9.2,True,9.234326570851248
stalker,9.38124321566897,10.0,True,9.484380521796286
one-battle-after-another,9.366928162641171,,False,7.433007479734783
persona,9.341454542206657,9.5,True,9.48559070656529
twin-peaks,9.314720946292544,,False,8.608690153617436
norte-the-end-of-history,9.30189423969458,9.6,True,9.20973955560044
winter-sleep,9.293114926191228,9.2,True,9.060864581768316
the-seventh-seal,9.284517502104295,,False,9.456392455804023
riceboy-sleeps,9.270783548036063,9.7,True,9.278041586932215
the-fallout,9.267111715618803,8.8,True,8.662605333459977
wristcutters-a-love-story,9.261451794749563,,False,8.208240156971625
vivre-sa-vie,9.253875568456706,9.5,True,9.316656861001539
the-worst-person-in-the-world,9.235539975043581,8.8,True,8.837507676685876
bicycle-thieves,9.23080251241601,9.8,True,9.221117730322277
dawn-of-the-dead,9.194536571728097,,False,8.461535036790083
a-woman-under-the-influence,9.189762607624434,9.8,True,9.454199421833488
portrait-of-a-lady-on-fire,9.151293733258443,,False,9.235394545049923
nosferatu,9.140372674455236,,False,8.566689252467746
lady-bird,9.07094982375291,,False,8.747037702008319
hamnet,9.054767383796282,,False,8.735685776923583
requiem-for-a-dream,9.045418162348296,,False,8.524536011780224
the-testament-of-ann-lee,9.03151000462586,8.6,True,8.757735038690598
the-passion-of-joan-of-arc,9.028485398853338,,False,8.814409942931716
arrival,9.022250600082051,8.8,True,8.790736813379615
extraordinary-stories,8.974911410768717,8.5,True,9.209503037603623
monos,8.96817175853264,8.0,True,8.440417557134937
close-your-eyes,8.96525018984734,9.5,True,9.476117123897025
close-up,8.957299606552903,9.5,True,9.768478237198227
before-midnight,8.949784053176609,,False,8.58619180543352
the-souvenir-part-ii,8.942597994611,9.6,True,9.077259499936446
tokyo-story,8.942387809531409,10.0,True,9.87142876202625
mississippi-masala,8.93311582773499,9.0,True,8.876886481791772
2046,8.914502129460885,,False,9.513935064193706
fallen-leaves,8.914272369563493,9.5,True,9.106970421875385
do-not-expect-too-much-from-the-end-of-the-world,8.89407863747223,9.2,True,8.951510820885494
little-forest-summer-autumn,8.873059126981863,9.5,True,9.019550458877077
hal-harper,8.862766167725347,8.8,True,8.688051957893277
ran,8.855442869038631,9.0,True,8.782764764163145
before-sunset,8.826839079014915,8.5,True,8.831265763900713
blade-runner,8.820435275130802,8.5,True,8.771122657034502
paju,8.79952041046757,9.2,True,8.88311989219797
killers-of-the-flower-moon,8.768438067511877,9.5,True,8.672348346348496
it-was-just-an-accident,8.763759616994166,,False,8.903508751703798
ghost-in-the-shell,8.717309325578968,9.0,True,9.284427881652382
disobedience,8.714033895514223,8.5,True,8.716085138871943
mommy,8.709507194096657,8.5,True,8.802897880647372
eternal-sunshine-of-the-spotless-mind,8.694393778684919,,False,8.511452906911455
viola,8.685536109713272,9.4,True,9.120751579680181
rara,8.67536804257829,8.8,True,8.88054084263995
aguirre-the-wrath-of-god,8.667036346570113,8.5,True,8.538631978636696
daisies,8.65187998362386,8.8,True,8.435923708986863
the-secret-agent,8.641224180952486,,False,8.524833248131698
princess-mononoke,8.634540145946508,,False,8.964661837350269
gueros,8.629855434148505,8.5,True,8.781962093366925
