film_id,nota_modelo,nota_gemini,evaluada,nota_reglas
taipei-suicide-story,12.26373399613334,,False,9.575751499981438
sentimental-value,10.319245902725227,,False,9.362045808679152
4-months-3-weeks-and-2-days,10.009100272215251,9.5,True,8.818398466715422
women-workers-leaving-the-factory,9.967868289239552,9.5,True,9.654508637741971
the-seventh-seal,9.957063292990707,,False,9.334499051884478
tokyo-story,9.897289871410862,10.0,True,9.588618179864026
cleo-from-5-to-7,9.817658289594203,9.7,True,9.716808129950788
secret-sunshine,9.809248816531584,9.6,True,9.535500292215655
woman-in-the-dunes,9.783247623305785,9.5,True,9.564847613359996
stalker,9.77725881796342,10.0,True,9.516945790732489
bicycle-thieves,9.776690341543272,9.8,True,9.150696398420662
the-green-ray,9.740768483541391,9.8,True,9.6014929063015
all-we-imagine-as-light,9.70537003189004,10.0,True,9.586117180894087
columbus,9.701638331736005,9.8,True,9.23408670111745
certain-women,9.649269255853932,10.0,True,9.578179885560964
ghost-in-the-shell,9.63353601470867,9.0,True,9.217584182238358
persona,9.624166051755907,9.5,True,9.394136137680718
norte-the-end-of-history,9.583628650711507,9.6,True,8.787443139603283
spring-summer-fall-winter-and-spring,9.56927805859002,9.0,True,9.505589383071547
train-dreams,9.563902811461864,,False,9.163010104277678
shoplifters,9.549532778958937,9.8,True,9.465299703818555
india-song,9.538505991368403,9.5,True,9.347311384688021
the-girl-with-the-needle,9.521115704843696,9.0,True,9.028438073507306
the-passion-of-joan-of-arc,9.435901384324046,,False,8.958875147401333
raise-the-red-lantern,9.418114081320763,9.2,True,9.012285802853533
the-worst-person-in-the-world,9.411401760557055,8.8,True,8.943137571978097
little-forest-summer-autumn,9.39064243627563,9.5,True,9.151743186908792
winter-sleep,9.351072053350435,9.2,True,9.119315975032663
the-headless-woman,9.336282655397618,9.5,True,9.544595775487585
princess-mononoke,9.288245368484377,,False,8.504491657420816
arrival,9.279648929953957,8.8,True,8.922582392490204
the-tree-of-life,9.272916859319208,9.2,True,9.408701619818896
love-life,9.263893994096643,9.3,True,9.566368975044945
seven-samurai,9.26371851611297,,False,9.158311892516927
fallen-leaves,9.229986927056817,9.5,True,9.311649332878678
lady-bird,9.209869342569053,,False,8.564176309062944
vivre-sa-vie,9.162203665656875,9.5,True,9.394675468912023
close-up,9.155441821508084,9.5,True,9.381716480050754
sorry-baby,9.155228412711926,,False,8.210795839859218
under-the-skin,9.153242151673425,,False,9.185810327120606
portrait-of-a-lady-on-fire,9.147163555189818,,False,8.902220153307608
neon-genesis-evangelion-the-end-of-evangelion,9.133884821079727,9.8,True,9.198839104401703
a-place-further-than-the-universe,9.12188049951869,9.2,True,8.680888799779662
the-fallout,9.120312603216195,8.8,True,8.757646423387579
aguirre-the-wrath-of-god,9.099430722225636,8.5,True,8.078561486104348
paterson,9.050576128033837,9.8,True,9.323678581588137
melancholia,9.047466535732253,9.5,True,8.989330442188429
